GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ch20-tdd,com.manning.junitbook.airport,BusinessFlight,0,16,0,2,0,6,0,4,0,3
ch20-tdd,com.manning.junitbook.airport,Passenger,0,15,0,0,0,6,0,3,0,3
ch20-tdd,com.manning.junitbook.airport,PremiumFlight,0,24,0,4,0,8,0,5,0,3
ch20-tdd,com.manning.junitbook.airport,EconomyFlight,0,19,0,2,0,6,0,4,0,3
ch20-tdd,com.manning.junitbook.airport,Flight,0,18,0,0,0,6,0,3,0,3
